Sample,Period,Clostridium_sensu_stricto_6,Propioniciclava,Streptococcus,Anaerolineae_SJA_15,Clostridium_sensu_stricto_12,Clostridium_sensu_stricto_3,Ornatilinea,Anaerolineae_SBR1031,uncultured_Ardenticatenales,Bacteroidetes_vadinHA17,Syntrophobacter,Smithella,Syntrophorhabdus,Syntrophomonadaceae,Syntrophomonas,Syntrophus,Methanosaeta,Methanolinea,Methanobacterium,Micrarchaeales,Candidatus_Methanofastidiosum,Methanomethylovorans,Methanospirillum,Methanomassiliicoccus
20,Stage1,37.28640331,0.014529797,11.51051701,2.423572655,1.017086871,1.848192084,1.792978797,1.86562788,2.092292929,1.063582261,2.772288076,0.374869116,0.328373726,0.328373726,0.031965593,0.081366982,6.863883156,1.049052464,0.549226876,0.650935554,0.209229253,0.156921965,0,0.069743084
21,Stage1,30.0177998,0.022657398,9.389868149,2.692992185,0.521119858,1.741381961,2.197766424,2.207476723,2.404919708,1.265576899,3.482763921,0.446674164,0.37546527,0.482278661,0.042077997,0.090629593,8.334681333,1.340022593,0.563197855,0.864217431,0.233047381,0.181259085,0,0.093866292
22,Stage1,49.15668682,0,11.23258541,2.234651728,0.573494651,1.873039285,1.19501598,1.358871609,1.486000954,0.856004328,1.737434644,0.285334776,0.2288329,0.262733986,0,0.02260079,4.887417674,0.867304723,0.457665701,0.446365306,0.18363132,0.079102666,0.005649998,0.04520158
23,Stage1,48.19846387,0.028963703,12.63685465,2.21861812,0.787812178,2.395296537,1.41632404,1.427909541,1.523489651,0.802293979,1.72044277,0.266465926,0.251984025,0.240398524,0,0.040549204,4.411168837,0.91235599,0.324393232,0.448937044,0.150611115,0.083994708,0,0.060823706
24,Stage1,53.15753623,0.045432196,11.23993583,1.831827842,1.224853195,3.216602523,1.252112492,1.097642906,1.377505482,0.825049429,1.617387661,0.170825185,0.203536382,0.22716118,0.016355599,0.021807498,3.461936602,0.58153265,0.376178968,0.370727068,0.11448929,0.070874294,0,0.049066796
25,Stage1,60.97298007,0.030216012,9.892736809,1.504759579,1.840157808,3.997584239,0.846049626,0.731228582,0.833963121,0.507629795,0.948784165,0.117842645,0.105756241,0.114821044,0,0.018129607,2.405198126,0.356549437,0.271944505,0.274966106,0.066475326,0.039280915,0.012086405,0.039280915
26,Stage1,58.53322737,0.052290991,11.08568998,1.300738375,1.90535297,4.712725485,0.902019544,0.705928378,0.81051036,0.709196577,0.908555943,0.124191079,0.11765468,0.081704686,0,0.016340897,2.183148822,0.352964139,0.248382157,0.271259553,0.075168287,0.039218193,0.016340897,0
27,Stage1,60.5755801,0.067906193,12.79870523,0.688763032,1.92400951,8.087307199,0.533548847,0.261923974,0.662894034,0.371867363,0.963621605,0.109943389,0.048504395,0.032336297,0,0.006469999,1.034761398,0.174615983,0.155214185,0.223120478,0.035569896,0,0,0
28,Stage1,54.34304019,0.085157421,16.4069933,0.946193337,2.529490332,7.686244322,0.671797268,0.485712621,0.64025756,0.498328525,0.592947848,0.100927325,0.015769904,0.091465323,0,0,1.740995835,0.274396069,0.249164262,0.236548359,0.072541518,0.059925615,0.022077806,0.031539808
29,Stage1,50.983224,0.108002389,18.83724062,0.835489916,2.79991002,9.832289717,0.582805142,0.454424955,0.491105051,0.364762664,0.717298628,0.118191288,0.118191288,0.083548992,0,0,1.310292669,0.271024773,0.144682386,0.220080278,0.038717796,0.022415598,0.008149999,0.014264499
